"query","function_calls","full_response","error"
"I need to send an email to chenwei saying 'chenwei,\n\nI wanted to let you know that I've completed the tasks for the daily stand-up. Looking forward to your feedback.\n\nThanks,\n\nSam' and title it 'Update on daily stand-up'. Can you do that?","[]","","Requested tokens (6458) exceed context window of 4096"
"Send an email to lena saying 'lena,\n\nI've been assigned 'Develop prototype for report generation'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nCheers,\n\nSam' and title it 'Task Update on Create wireframe for homepage'","[]","","Requested tokens (6454) exceed context window of 4096"
"please send an email to nadia saying 'nadia,\n\nI've been assigned 'Develop prototype for report generation'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nCheers,\n\nSam' and title it 'Task Update on Create wireframe for homepage'","[]","","Requested tokens (6456) exceed context window of 4096"
"I need to send an email to amir saying 'amir,\n\nRegarding task 'Add authentication for email notification', I've made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\n\nAdditionally, I wanted to touch base on some other areas we've been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\n\nRegards,\n\nSam' and title it 'Update on status briefing'. Can you do that?","[]","","Requested tokens (6526) exceed context window of 4096"
"please send an email to aisha saying 'Hi aisha,\n\nI have some ideas for the Machine Learning Chat that I'd like to run by you. When are you free?\n\nBest,\n\nSam' and title it 'Update on Innovation and Creativity Hackathon'","[]","","Requested tokens (6453) exceed context window of 4096"
"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?","[]","","Requested tokens (6458) exceed context window of 4096"
"I need to send an email to kofi saying 'Hi kofi,\n\nI've been assigned 'Fix bug in user management module'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nThanks,\n\nSam' and title it 'Update on Corporate Social Responsibility Initiative'. Can you do that?","[]","","Requested tokens (6463) exceed context window of 4096"
"I need to get back to yuki's last email about 'Update on Client Appreciation Gala' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?","[]","","Requested tokens (6434) exceed context window of 4096"
"Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6423) exceed context window of 4096"
"I need to get back to dmitri's last email about 'Update on team coordination meeting' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?","[]","","Requested tokens (6434) exceed context window of 4096"
"Reply to anaya's last email about 'Update on Innovation and Creativity Hackathon' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6425) exceed context window of 4096"
"I need to get back to amir's last email about 'Update on Risk Management Forum' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?","[]","","Requested tokens (6433) exceed context window of 4096"
"Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6424) exceed context window of 4096"
"I need to get back to lena's last email about 'Update on Leadership Training Workshop' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?","[]","","Requested tokens (6433) exceed context window of 4096"
"Reply to raj's last email about 'Update on IT Systems Update Briefing' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6423) exceed context window of 4096"
"Reply to chenwei's last email about 'Task Update on Develop prototype for login system' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6426) exceed context window of 4096"
"Reply to yuki's last email about 'Task Update on Add authentication for email notification' with 'Thanks for the update - I will get back to you tomorrow.'","[]","","Requested tokens (6425) exceed context window of 4096"
"carlos needs all the emails from chenwei last week about 'Update on Supply Chain Enhancement Workshop'. Can you forward them?","[]","","Requested tokens (6417) exceed context window of 4096"
"can you forward all the emails from anaya last week about 'Update on Board of Directors Conclave' to nadia","[]","","Requested tokens (6416) exceed context window of 4096"
"nia needs all the emails from sofia last week about 'Update on Risk Management Forum'. Can you forward them?","[]","","Requested tokens (6415) exceed context window of 4096"
"chenwei needs all the emails from nadia last week about 'Task Update on Improve UX of feedback submission'. Can you forward them?","[]","","Requested tokens (6419) exceed context window of 4096"
"Forward all the emails from fatima last week about 'Task Update on Develop prototype for report generation' to anaya","[]","","Requested tokens (6415) exceed context window of 4096"
"Forward all the emails from anaya last week about 'Update on status briefing' to amir","[]","","Requested tokens (6411) exceed context window of 4096"
"Forward all the emails from sofia last week about 'Task Update on Improve UX of onboarding process' to amir","[]","","Requested tokens (6416) exceed context window of 4096"
"Forward all the emails from amir last week about 'Task Update on Update brand colors in website' to yuki","[]","","Requested tokens (6415) exceed context window of 4096"
"Forward all the emails from akira last week about 'Update on Client Appreciation Gala' to kofi","[]","","Requested tokens (6413) exceed context window of 4096"
"carlos needs all the emails from nia last week about 'Update on introductory call'. Can you forward them?","[]","","Requested tokens (6414) exceed context window of 4096"
"Forward the latest email about 'Task Update on Add authentication for email notification' to olga","[]","","Requested tokens (6410) exceed context window of 4096"
"santiago needs the latest email about 'Update on Client Appreciation Gala'. Can you forward it?","[]","","Requested tokens (6411) exceed context window of 4096"
"amir needs the latest email about 'Update on Machine Learning Chat'. Can you forward it?","[]","","Requested tokens (6410) exceed context window of 4096"
"can you forward the latest email about 'Update on Corporate Governance Workshop' to yuki","[]","","Requested tokens (6409) exceed context window of 4096"
"Forward the latest email about 'Task Update on Add animation to form submission button' to raj","[]","","Requested tokens (6410) exceed context window of 4096"
"Forward the latest email about 'Task Update on Design logo for website' to dmitri","[]","","Requested tokens (6410) exceed context window of 4096"
"Forward the latest email about 'Task Update on Design logo for blog' to yuki","[]","","Requested tokens (6409) exceed context window of 4096"
"Forward the latest email about 'Update on team coordination meeting' to chenwei","[]","","Requested tokens (6408) exceed context window of 4096"
"can you forward the latest email about 'Task Update on Design logo for blog' to carlos","[]","","Requested tokens (6411) exceed context window of 4096"
"Forward the latest email about 'Task Update on Optimize database query for user management' to aisha","[]","","Requested tokens (6412) exceed context window of 4096"
"Forward my most recent email from fatima to kofi","[]","","Requested tokens (6403) exceed context window of 4096"
"Forward my most recent email from kofi to jinsoo","[]","","Requested tokens (6404) exceed context window of 4096"
"Forward my most recent email from anaya to olga","[]","","Requested tokens (6403) exceed context window of 4096"
"can you forward my most recent email from leila to anaya","[]","","Requested tokens (6405) exceed context window of 4096"
"can you forward my most recent email from jinsoo to chenwei","[]","","Requested tokens (6407) exceed context window of 4096"
"can you forward my most recent email from kofi to nia","[]","","Requested tokens (6405) exceed context window of 4096"
"fatima needs my most recent email from leila. Can you forward it?","[]","","Requested tokens (6407) exceed context window of 4096"
"can you forward my most recent email from sofia to dmitri","[]","","Requested tokens (6406) exceed context window of 4096"
"anaya needs my most recent email from akira. Can you forward it?","[]","","Requested tokens (6407) exceed context window of 4096"
"can you forward my most recent email from olga to raj","[]","","Requested tokens (6404) exceed context window of 4096"
"Forward the last email about 'Update on feedback discussion' to amir and akira","[]","","Requested tokens (6409) exceed context window of 4096"
"Forward the last email about 'Update on Annual Budget Planning Session' to carlos and nadia","[]","","Requested tokens (6411) exceed context window of 4096"
"dmitri and yuki need the last email about 'Update on IT Systems Update Briefing'. Can you forward it?","[]","","Requested tokens (6416) exceed context window of 4096"
"Forward the last email about 'Update on project debrief' to olga and kofi","[]","","Requested tokens (6410) exceed context window of 4096"
"lena and aisha need the last email about 'Update on Team Building Retreat'. Can you forward it?","[]","","Requested tokens (6413) exceed context window of 4096"
"Forward the last email about 'Update on Board of Directors Conclave' to akira and yuki","[]","","Requested tokens (6412) exceed context window of 4096"
"Forward the last email about 'Update on introductory call' to lena and nadia","[]","","Requested tokens (6409) exceed context window of 4096"
"can you forward the last email about 'Update on Machine Learning Chat' to nadia and jinsoo","[]","","Requested tokens (6413) exceed context window of 4096"
"raj and sofia need the last email about 'Update on introductory call'. Can you forward it?","[]","","Requested tokens (6411) exceed context window of 4096"
"Forward the last email about 'Update on casual catch-up' to anaya and luis","[]","","Requested tokens (6410) exceed context window of 4096"
"I need to reply to the latest email from sofia with 'Got it, thank you!'. Can you do that?","[]","","Requested tokens (6416) exceed context window of 4096"
"can you reply to the latest email from carlos with 'Got it, thank you!'","[]","","Requested tokens (6410) exceed context window of 4096"
"Reply to the latest email from chenwei with 'Got it, thank you!'","[]","","Requested tokens (6409) exceed context window of 4096"
"can you reply to the latest email from nia with 'Got it, thank you!'","[]","","Requested tokens (6410) exceed context window of 4096"
"Reply to the latest email from akira with 'Got it, thank you!'","[]","","Requested tokens (6408) exceed context window of 4096"
"Reply to the latest email from sofia with 'Got it, thank you!'","[]","","Requested tokens (6408) exceed context window of 4096"
"I need to reply to the latest email from amir with 'Got it, thank you!'. Can you do that?","[]","","Requested tokens (6416) exceed context window of 4096"
"I need to reply to the latest email from nia with 'Got it, thank you!'. Can you do that?","[]","","Requested tokens (6416) exceed context window of 4096"
"Reply to the latest email from santiago with 'Got it, thank you!'","[]","","Requested tokens (6408) exceed context window of 4096"
"I need to reply to the latest email from kofi with 'Got it, thank you!'. Can you do that?","[]","","Requested tokens (6416) exceed context window of 4096"
